"","CellType","estimate","se","zval","pval","ci.lb","ci.ub","padj"
"L6 CT","L6 CT",0.125606426178303,0.0649999672118182,1.93240753136049,0.0533092252007589,-0.00179116855314546,0.253004020909751,0.319855351204553
"Sst","Sst",-0.169470258834415,0.0485169776159854,-3.49300939922066,0.000477609697769548,-0.264561787600483,-0.074378730068348,0.00859697455985187
"L6b","L6b",0.145156232489517,0.0709679738666112,2.04537659145163,0.0408177449310939,0.00606155965517985,0.284250905323855,0.319855351204553
"L4 IT","L4 IT",-0.0193354753557229,0.0428076815060975,-0.45168237744828,0.651497815364611,-0.103236989369335,0.0645660386578895,0.902073898197154
"Sst Chodl","Sst Chodl",-0.0074600755387129,0.0724466392019468,-0.102973383180933,0.917984095778158,-0.149452879175496,0.13453272809807,0.965193558308687
"L5 ET","L5 ET",0.0554018477179979,0.0745270103182962,0.743379447013681,0.457251984102248,-0.0906684083813076,0.201472103817303,0.748230519440043
"L6 IT Car3","L6 IT Car3",0.0686454124884531,0.0502852005545175,1.36512158113061,0.172214840107703,-0.0299117695537749,0.167202594530681,0.48788897753524
"Lamp5 Lhx6","Lamp5 Lhx6",-0.0032051065510001,0.0422626206223909,-0.0758378563326009,0.939548097835462,-0.086038320863166,0.0796281077611658,0.965193558308687
"L5/6 NP","L5/6 NP",0.0502551202065435,0.0496772188289145,1.01163312663737,0.311713500774246,-0.0471104395502439,0.147620679963331,0.561084301393643
"L6 IT","L6 IT",0.101109405936608,0.0634254769741935,1.59414498337549,0.11090356563303,-0.0232022446350858,0.225421056508302,0.48788897753524
"Lamp5","Lamp5",0.0019986175981573,0.0458007223705126,0.0436372505653765,0.965193558308687,-0.0877691487139654,0.09176638391028,0.965193558308687
"Pvalb","Pvalb",-0.0493989194853215,0.0376842014056317,-1.31086549914095,0.189903208796557,-0.123258597026513,0.0244607580558703,0.48788897753524
"L5 IT","L5 IT",-0.0066724751690504,0.0376921628433313,-0.177025531720872,0.859488334878547,-0.0805477568413986,0.0672028065032978,0.965193558308687
"Chandelier","Chandelier",-0.0131809470847113,0.0479245601589304,-0.275035327210095,0.78328909732672,-0.107111358971138,0.0807494648017155,0.965193558308687
"Sncg","Sncg",-0.0686133631503605,0.0647533849138262,-1.05961044726343,0.289321858753942,-0.195527665458519,0.058300939157798,0.561084301393643
"Vip","Vip",-0.0554054293603501,0.0448635783409093,-1.23497570655946,0.216839545571218,-0.143336427126124,0.0325255684054233,0.48788897753524
"L2/3 IT","L2/3 IT",-0.074276292668894,0.0541253561762242,-1.37230122656489,0.16996968396724,-0.180360041424696,0.031807456086908,0.48788897753524
"Pax6","Pax6",-0.0320403224948196,0.0630590320509496,-0.508100448940162,0.611382900438453,-0.155633754214638,0.0915531092249986,0.902073898197154
