sample_id,n_pass,n_cortical,n_vascular,n_wm,n_l1_border,n_clusters,pct_cortical,pct_vascular,pct_l1_border,L1,L2/3,L4,L5,L6,WM,Vascular
Br1113,56206,43413,4847,7946,0,6,77.2390847952176,8.623634487421272,0.0,1756,12373,9297,18429,4174,10177,0
Br1139,58571,39839,5352,13380,3103,5,68.01830257294566,9.137627836301242,5.2978436427583615,1930,11801,7483,11540,5493,15432,4892
Br2039,44675,23297,1885,19493,705,7,52.147733631785115,4.219362059317292,1.578063794068271,585,2614,1841,7137,5024,26603,871
Br2421,65742,39561,14125,12056,4849,6,60.17614310486447,21.485503939642847,7.375802378996684,4100,12237,6234,12530,6334,16449,7858
Br2719,59489,30461,9371,19657,3415,8,51.204424347358334,15.752492057355141,5.740557077779085,2527,8256,7496,16974,6729,15442,2065
Br5314,47304,25848,9875,11581,3564,7,54.64231354642313,20.875613055978352,7.534246575342466,2972,5386,4158,9351,4079,16126,5232
Br5373,64447,37848,13087,13512,5410,8,58.72732633016277,20.30660853104101,8.3944947010722,4620,12284,5643,13157,6705,15024,7014
Br5400,45763,37140,8623,0,3667,7,81.15726678757949,18.842733212420516,8.013023621703123,2765,8149,7931,15266,8468,906,2278
Br5436,44987,30386,10281,4320,3236,7,67.5439571431747,22.853268722075267,7.193189143530353,2610,8041,10595,11963,3393,5820,2565
Br5588,60719,37930,12138,10651,3987,6,62.4680907129564,19.990447800523725,6.566313674467629,3254,12250,6411,13145,7651,12765,5243
Br5590,55230,31029,8500,15701,3820,7,56.181423139598046,15.39018649284809,6.916530870903494,2703,9310,4969,12779,4008,17475,3986
Br5622,69327,47891,13189,8247,2405,7,69.07986787254605,19.0243339535823,3.4690668859174636,2031,20071,7766,20629,5305,8770,4755
Br5639,61249,39929,11145,10175,4375,9,65.1912684288723,18.196215448415483,7.142973762836944,3681,11752,7354,14494,7202,12135,4631
Br5746,44402,24502,4231,15669,1713,6,55.182199000045046,9.528850051799468,3.857934327282555,1196,4098,3563,9763,6355,19005,422
Br5931,44402,31927,8237,4238,3645,7,71.90441871987748,18.550966172694924,8.209089680645016,3055,7407,7092,13718,4456,5807,2867
Br5973,43535,28243,6993,8299,2086,8,64.87423911795108,16.06293786608476,4.791547031124383,1502,5855,3845,11733,6075,11918,2607
Br6032,46304,39443,6861,0,2515,7,85.18270559778853,14.817294402211472,5.431496199032481,2054,7106,5654,18120,9585,3185,600
Br6389,51902,29184,11148,11570,3219,6,56.22904705021001,21.478941081268545,6.202073137836692,2547,8444,7087,13259,2765,13437,4363
Br6432,40157,27037,7504,5616,4560,8,67.32823667106607,18.68665487959758,11.35542993749533,3616,7962,5406,8831,3916,7151,3275
Br6437,58244,41261,3804,13179,3680,5,70.8416317560607,6.531144838953368,6.318247373119978,2633,7850,6227,15743,7248,15376,3167
Br6496,58032,28184,7456,22392,3646,8,48.5663082437276,12.84808381582575,6.2827405569341055,3352,11661,5508,11736,4857,19649,1269
Br8433,59870,37578,12793,9499,5454,8,62.7659929848004,21.367963921830633,9.109737765157842,4540,12049,7273,13036,5635,12211,5126
Br8667,67003,34723,19818,12462,5196,8,51.82305269913287,29.577780099398534,7.754876647314299,4501,12100,7892,17356,5683,15093,4378
Br8772,55071,34380,12175,8516,4248,7,62.428501389115866,22.107824444807612,7.713678705670861,3805,8743,5040,13250,5346,12496,6391
